Topic summary,Associated Links,Week Number,wc_date,Date,Sender,Email ID,link,L,LD,I,whois,source,Rank,Category ,Year,Week Range,date_updated
How did you like this issue of Data Elixir? - provide feedback on the current issue of Data Elixir.,"['https://dataelixir.typeform.com/to/Dqw0wpS2', 'https://dataelixir.typeform.com/to/PJiwTd7v', 'https://dataelixir.typeform.com/to/LVkyZfXJ']",31,31/07/2023,2023-02-08,Data Elixir <lon@dataelixir.com>,189b236a148c73fb,"['https://dataelixir.typeform.com/to/Dqw0wpS2', 'https://dataelixir.typeform.com/to/PJiwTd7v', 'https://dataelixir.typeform.com/to/LVkyZfXJ']",335.0,,,,,,[],2023,Jul 31 - Aug 06,
Telling Stories with Data - a new book on data science that focuses on telling stories with data via case studies and statistical models.,['https://tellingstorieswithdata.com/?utm_campaign=Data_Elixir&utm_source=Data_Elixir_446'],31,31/07/2023,2023-02-08,Data Elixir <lon@dataelixir.com>,189b236a148c73fb,['https://tellingstorieswithdata.com/?utm_campaign=Data_Elixir&utm_source=Data_Elixir_446'],164.0,308.0,128.0,,,3030000.0,['AI Marketing tools'],2023,Jul 31 - Aug 06,
Announcing Jupyter Notebook 7 - the most significant release of Jupyter Notebook with new features like real-time collaboration and dark mode.,['https://blog.jupyter.org/announcing-jupyter-notebook-7-8d6d66126dcf?utm_campaign=Data_Elixir&utm_source=Data_Elixir_446'],31,31/07/2023,2023-02-08,Data Elixir <lon@dataelixir.com>,189b236a148c73fb,['https://blog.jupyter.org/announcing-jupyter-notebook-7-8d6d66126dcf?utm_campaign=Data_Elixir&utm_source=Data_Elixir_446'],21200.0,92400.0,2170.0,,,15000.0,['New Tech and AI tools'],2023,Jul 31 - Aug 06,
tinyvector - a nearest-neighbor embedding database built with SQLite and Pytorch for fast querying and scalability.,['https://github.com/0hq/tinyvector?utm_campaign=Data_Elixir&utm_source=Data_Elixir_446#readme'],31,31/07/2023,2023-02-08,Data Elixir <lon@dataelixir.com>,189b236a148c73fb,['https://github.com/0hq/tinyvector?utm_campaign=Data_Elixir&utm_source=Data_Elixir_446#readme'],3010.0,8920000000.0,115000.0,,,286.0,['New Tech and AI tools'],2023,Jul 31 - Aug 06,
How to Check 2 SQL Tables are the Same - a post challenging readers to write a query that checks if two SQL tables are the same.,"['https://github.com/remysucre/blog/blob/main/posts/sql-eq.md?utm_campaign=Data_Elixir&utm_source=Data_Elixir_446', 'https://news.ycombinator.com/item?id=36889656&utm_campaign=Data_Elixir&utm_source=Data_Elixir_446']",31,31/07/2023,2023-02-08,Data Elixir <lon@dataelixir.com>,189b236a148c73fb,"['https://github.com/remysucre/blog/blob/main/posts/sql-eq.md?utm_campaign=Data_Elixir&utm_source=Data_Elixir_446', 'https://news.ycombinator.com/item?id=36889656&utm_campaign=Data_Elixir&utm_source=Data_Elixir_446']",382.0,,,,,,['AI in business'],2023,Jul 31 - Aug 06,
Treemaps are awesome! - a blog post highlighting the usefulness of treemaps in visualizing and exploring data.,['https://blog.phronemophobic.com/treemaps-are-awesome.html?utm_campaign=Data_Elixir&utm_source=Data_Elixir_446'],31,31/07/2023,2023-02-08,Data Elixir <lon@dataelixir.com>,189b236a148c73fb,['https://blog.phronemophobic.com/treemaps-are-awesome.html?utm_campaign=Data_Elixir&utm_source=Data_Elixir_446'],1370.0,3220.0,23.0,,,39900000.0,['AI real-world applications'],2023,Jul 31 - Aug 06,
Complete customer profiles in your data warehouse - a sponsored link describing RudderStack Profiles and its ability to create complete customer profiles.,['https://www.rudderstack.com/product/profiles/?utm_source=data_elixir&utm_medium=newsletter&utm_campaign=CMPGN_173_P&utm_content=None&utm_term=%7Bkeyword%7D&utm_referrer=None&raid=ff47ca3fcd9b466cb67ba56fe54e2d34'],31,31/07/2023,2023-02-08,Data Elixir <lon@dataelixir.com>,189b236a148c73fb,['https://www.rudderstack.com/product/profiles/?utm_source=data_elixir&utm_medium=newsletter&utm_campaign=CMPGN_173_P&utm_content=None&utm_term=%7Bkeyword%7D&utm_referrer=None&raid=ff47ca3fcd9b466cb67ba56fe54e2d34'],4.0,,,,,,['AI Marketing tools'],2023,Jul 31 - Aug 06,
Design Patterns for LLM Systems & Products - a post exploring practical patterns for integrating large language models into systems and products.,['https://eugeneyan.com/writing/llm-patterns/?utm_campaign=Data_Elixir&utm_source=Data_Elixir_446'],31,31/07/2023,2023-02-08,Data Elixir <lon@dataelixir.com>,189b236a148c73fb,['https://eugeneyan.com/writing/llm-patterns/?utm_campaign=Data_Elixir&utm_source=Data_Elixir_446'],3320.0,154000.0,226.0,,,1880000.0,['AI real-world applications'],2023,Jul 31 - Aug 06,
"Ultimate practical guide to conjoint analysis with R - a practical guide for conducting conjoint analysis using R, brms, and marginaleffects.",['https://www.andrewheiss.com/blog/2023/07/25/conjoint-bayesian-frequentist-guide/?utm_campaign=Data_Elixir&utm_source=Data_Elixir_446'],31,31/07/2023,2023-02-08,Data Elixir <lon@dataelixir.com>,189b236a148c73fb,['https://www.andrewheiss.com/blog/2023/07/25/conjoint-bayesian-frequentist-guide/?utm_campaign=Data_Elixir&utm_source=Data_Elixir_446'],,,,,,,['AI real-world applications'],2023,Jul 31 - Aug 06,
Shiny for Python - an episode discussing the introduction of the Shiny framework to the Python community.,['https://talkpython.fm/episodes/show/424/shiny-for-python?utm_campaign=Data_Elixir&utm_source=Data_Elixir_446'],31,31/07/2023,2023-02-08,Data Elixir <lon@dataelixir.com>,189b236a148c73fb,['https://talkpython.fm/episodes/show/424/shiny-for-python?utm_campaign=Data_Elixir&utm_source=Data_Elixir_446'],1840.0,1120000.0,1760.0,,,1110000.0,['AI real-world applications'],2023,Jul 31 - Aug 06,
